date_time,power,windspeed,tem,hum,pressure,precipitation,wind_dir
12/10 22h,0.140875313,5.210960037,23.83965454,93.61955777,1010.231094,0,132.8996887
12/10 23h,0.106912917,4.780596676,23.58352051,94.56727522,1009.997109,0,131.2099304
12/11 0h,0.112872881,4.869824864,23.26818237,96.12180363,1010.040234,0,131.437088
12/11 1h,0.12275509,5.015242421,23.3482605,96.23386561,1009.779766,0,132.5965881
12/11 2h,0.124905198,5.038394355,23.275354,96.63539583,1009.424609,0.001550186,135.260376
12/11 3h,0.139817022,5.197781606,23.17781982,96.73192293,1009.224531,0.003666151,136.6919098
12/11 4h,0.140215708,5.201521734,23.09462891,96.46698272,1009.294063,0.008180737,138.4510345
12/11 5h,0.068590044,4.192634176,23.16784058,95.98739247,1010.439141,0.020595733,129.5127563
12/11 6h,0.039573161,3.638747485,23.14354858,95.98631894,1010.578281,0.030189287,120.6091995
12/11 7h,0.038920246,3.623692623,23.31243286,95.13709356,1011.948125,0.039217994,115.9525528
12/11 8h,0.036862127,3.579188184,23.65551147,92.08468076,1012.157422,0.020595733,119.024292
12/11 9h,0.031902366,3.472610784,25.05300293,84.25517615,1013.125781,0.003807247,116.546463
12/11 10h,0.02647067,3.353765173,25.63726196,80.88966814,1013.029766,0.000985805,110.1764679
12/11 11h,0.013015112,3.056221197,25.88839111,80.95252793,1012.279922,0,94.66125488
12/11 12h,0.01050223,3.000936483,26.22460327,79.89035079,1011.442656,0,72.58422852
12/11 13h,0.032900194,3.499700989,26.33272705,80.2541715,1010.500703,0,59.20324707
12/11 14h,0.069423759,4.2176278,26.45583496,79.58473479,1009.977422,0,57.1209259
12/11 15h,0.134905218,5.158796433,26.06755981,80.68086196,1009.584609,0,59.84413147
12/11 16h,0.195185285,5.806947056,25.75658569,82.48580371,1009.93375,0,63.19100952
12/11 17h,0.265441251,6.394208174,24.66195068,87.94263045,1010.71,0,58.14017487
12/11 18h,0.257150626,6.328708792,24.58623657,88.2522668,1011.434063,0,69.80905914
