date_time,power,windspeed,tem,hum,pressure,precipitation,wind_dir
8/23 14h,0.013269313,3.072572573,28.2807251,39.52631712,984.7689844,0.000168104,241.9363403
8/23 15h,0.00430405,2.425268187,28.0130249,41.54898785,984.694375,0.000168104,242.9172363
8/23 16h,0,1.758301069,28.4387146,38.83352578,985.0332031,0.000168104,233.5505676
8/23 17h,0.002209311,2.21495697,23.57540283,61.70343548,985.2236719,0.000168104,188.200119
8/23 18h,0.00144585,2.140312459,22.88106689,69.57615213,985.4547656,0.000168104,175.0110931
8/23 19h,0.009681236,2.930616178,20.4470459,83.29825947,986.6774219,0.000168104,181.3974762
8/23 20h,0.037695307,3.608469917,19.93999634,89.00895467,986.6691406,0.000168104,173.2621613
8/23 21h,0.082077857,4.412855603,19.5871521,93.21182219,987.0907031,0.000168104,177.8061523
8/23 22h,0.102305269,4.710839936,17.10961304,98.33762659,987.660625,0.000168104,189.5312347
8/23 23h,0.101955098,4.708844926,17.83236084,94.91725994,987.9910938,0.000168104,196.4439087
8/24 0h,0.118017868,4.948010528,16.67919312,99.82013575,987.9496875,0.000168104,208.9802399
8/24 1h,0.067461729,4.178342271,17.38585815,97.7907826,988.0573438,0.000168104,216.1793365
8/24 2h,0.01092158,3.009069103,17.79073486,95.10837545,987.9248438,0.000168104,222.273407
8/24 3h,0,1.855443484,15.66982422,99.55302157,987.9082813,0.000168104,231.7192535
8/24 4h,0,1.847030713,16.12767944,97.63899746,988.4541406,0.000168104,246.978653
8/24 5h,0,1.239483227,21.13005981,83.01154088,989.0074219,0.000168104,90.06825256
8/24 6h,0,1.402259472,21.67495117,80.0947341,988.9742969,0.000168104,73.5567627
8/24 7h,0,1.171776475,21.83953247,78.21003247,989.4323438,0.000168104,37.80024719
8/24 8h,0,1.92897233,21.89440308,75.30487273,989.3917969,0.000168104,33.51663208
8/24 9h,0,1.882972917,26.17498169,57.45064093,989.0944531,0.000168104,41.66351318
8/24 10h,0,1.728401545,26.31783447,56.15298951,988.92875,0.000168104,45.73188782
8/24 11h,0,1.50282108,26.28566895,56.58709428,988.6976563,0.000168104,29.41751099
8/24 12h,0.001306208,2.128576029,27.92125854,47.47490086,988.0863281,0.000168104,2.812393188
8/24 13h,0.012726931,3.05888709,27.95342407,46.41367529,987.7807031,0.000168104,354.026001
8/24 14h,0.043378874,3.760680459,27.93450317,45.27596067,987.6738281,0.000168104,355.1890259
8/24 15h,0.084405212,4.47900747,26.53728638,49.06991159,987.6489844,0.000168104,0.086532593
8/24 16h,0.163439214,5.507515085,26.24215088,50.81226089,987.6738281,0.000168104,3.121200562
8/24 17h,0.293858023,6.643731861,21.86791382,70.18602268,987.5413281,0.000168104,3.020385742
8/24 18h,0.426489833,7.499527464,21.46398315,71.08128785,987.8883594,0.000168104,11.97291565
8/24 19h,0.416013555,7.435613659,21.09032593,72.25310838,987.9546875,0.000168104,19.64881897
8/24 20h,0.313669189,6.785870432,20.54543457,74.59477141,987.9298438,0.000168104,18.97789001
8/24 21h,0.229176698,6.124854307,19.33175049,80.39465999,987.8635156,0.000168104,22.1542511
8/24 22h,0.214731837,6.004731816,17.68477783,88.18144309,987.5496094,0.000168104,26.3742218
8/24 23h,0.196448969,5.81022981,17.52489624,89.29007292,987.0791406,0.000168104,31.34724426
8/25 0h,0.195408687,5.801701353,17.72072754,88.53089655,986.5092188,0.000168104,29.14167786
8/25 1h,0.159441068,5.416121502,17.84087524,88.44381036,986.3692969,0.000168104,25.65795898
8/25 2h,0.12996836,5.099515141,17.80114136,88.28421581,986.0221875,0.000168104,19.77537537
8/25 3h,0.128439886,5.080788648,17.29787598,88.90875382,985.9476563,0.000168104,12.38369751
8/25 4h,0.151838627,5.331592645,17.31868896,89.8279183,986.278125,0.000168104,2.585525513
8/25 5h,0.216605961,6.029159485,19.00158081,89.00533878,986.0635938,0.000168104,3.243225098
8/25 6h,0.13166977,5.126594467,19.46700439,86.78760264,985.5682813,0.000168104,12.4254303
8/25 7h,0.092953626,4.585031762,20.04689941,84.18916097,985.7207031,0.000168104,18.6277771
8/25 8h,0.065305657,4.158703592,20.57854614,83.54830158,985.7695313,0.000168104,13.20817566
8/25 9h,0.075272839,4.32622414,23.73244629,67.5272293,985.4738281,0.000168104,12.7755127
8/25 10h,0.049284098,3.88466864,24.29342041,65.26788364,985.5235156,0.024569687,7.009246826
8/25 11h,0.033559565,3.528197262,24.15718994,65.40441803,985.1185156,0.097604934,6.784484863
8/25 12h,0.02879913,3.421362023,24.50719604,64.01054642,984.6728906,0.03045937,1.873123169
8/25 13h,0.012179289,3.044074904,24.46462402,63.0378871,984.3763281,0.017501414,358.7722778
8/25 14h,0.00711309,2.695218963,24.66613159,61.98982561,984.3846094,0.002692454,347.8604736
8/25 15h,0.004863744,2.475692662,24.74559937,61.27518537,983.9878906,0.000673346,341.1343384
8/25 16h,0.003166055,2.309581695,24.74086914,60.06351379,984.1949219,0.000168104,348.1274414
8/25 17h,0.0100634,2.972046918,21.04586182,85.7203278,983.9389844,0.000168104,334.5956726
8/25 18h,0.012577455,3.048464453,19.88323364,85.98933073,985.2427344,0.000168104,320.7932129
8/25 19h,0.032048363,3.483629194,20.02324829,85.44856658,985.3910156,0.000168104,300.8605957
8/25 20h,0.054220587,3.980219955,20.41393433,82.30918835,985.76125,0.000168104,312.2105713
8/25 21h,0.058946282,4.057351749,19.70067749,86.20538492,985.7372656,0.05368283,320.8278198
8/25 22h,0.041329067,3.683647933,17.77181396,90.53269163,985.6627344,0.158355106,300.3777771
8/25 23h,0.020678002,3.225518203,17.61571655,92.5572497,985.9103906,0.168620609,290.192749
8/26 0h,0.041583309,3.68788927,17.2836853,93.72291557,985.4986719,0.072361901,293.8594971
8/26 1h,0.07654429,4.320033668,17.45491943,94.61967695,986.0669531,0.028439797,297.0143433
8/26 2h,0.081869684,4.402543285,17.70275269,93.96377132,986.2732031,0.00656303,290.1433411
8/26 3h,0.085229815,4.451935411,17.29692993,94.76513548,986.5457031,0.066640321,285.4817505
8/26 4h,0.081749507,4.396020667,16.85704956,96.04338115,987.0741406,0.01565041,283.8676758
8/26 5h,0.045001691,3.769012107,19.437677,92.26440669,987.3872656,0.0033658,267.1548157
8/26 6h,0.049835116,3.877038397,19.46795044,91.85698907,987.0824219,0.00589015,278.8971252
8/26 7h,0.062858803,4.116576568,19.96743164,87.53817304,987.9257031,0.001178123,286.133728
8/26 8h,0.061413989,4.094754617,20.13961182,84.75768725,987.9919531,0.070679467,290.3221741
8/26 9h,0.094699003,4.625696171,23.42879639,60.79854923,987.9007813,0.015987083,305.1593628
8/26 10h,0.117811475,4.986996322,23.36730347,58.65779009,987.6507031,0.003702473,318.1393738
8/26 11h,0.109854062,4.861806412,23.34365234,58.42536514,988.0416406,0.000168104,315.6481018
8/26 12h,0.110603948,4.883784618,25.07479248,49.87679564,987.9505469,0.001178123,317.4916992
8/26 13h,0.128600268,5.118228156,25.21480713,47.33049082,987.3102344,0.000168104,324.698822
8/26 14h,0.09758746,4.679540204,25.03505859,48.49068191,987.6257813,0.001178123,323.8308105
8/26 15h,0.076449106,4.346012556,24.72478638,49.68980198,987.6507031,0.000673346,321.2145996
8/26 16h,0.049889396,3.897151524,24.74276123,50.38186684,988.075625,0.000168104,320.8196716
8/26 17h,0.044032747,3.746974274,19.46416626,77.25634102,987.9505469,0.000168104,343.1623535
8/26 18h,0.048843329,3.851969485,19.19078979,78.51522889,988.8492188,0.000168104,345.7975464
8/26 19h,0.06219974,4.100867297,18.7272583,79.9913733,989.4232813,0.000168104,350.9769897
8/26 20h,0.086116904,4.466690025,18.52102051,79.5789166,989.8142188,0.000168104,354.1270752
8/26 21h,0.0766151,4.316311112,17.36977539,84.89367934,989.7976563,0.000168104,356.5846558
8/26 22h,0.038134449,3.599966063,14.59804688,91.26696822,989.9301563,0.000168104,7.288467407
8/26 23h,0.00401409,2.375687894,13.73626099,95.17705558,990.1629688,0.000168104,39.75465393
8/27 0h,0,1.628580779,13.52529297,94.99649067,989.9550781,0.000168104,87.88558197
8/27 1h,0,1.478690659,14.92723999,88.18249956,990.0800781,0.000168104,84.98670959
8/27 2h,0,1.129447524,14.8979126,88.96287973,990.1629688,0.000168104,90.352211
8/27 3h,0,0.867057279,14.02477417,91.05508308,990.4214063,0.000168104,323.828186
8/27 4h,0,0.544247935,13.57827148,94.23439834,990.479375,0.000168104,236.6270752
8/27 5h,0,1.525126206,17.88533936,86.30932668,990.545625,0.000168104,180.0739288
8/27 6h,0,1.049609164,19.08861694,80.87693773,991.0036719,0.000168104,190.8875732
8/27 7h,0,0.723888345,19.91918335,71.32431359,991.1246094,0.000168104,228.8622131
8/27 8h,0,0.980016146,19.94094238,69.15179329,991.3590625,0.000168104,273.2907715
8/27 9h,0,1.707573206,23.93584595,50.90486226,991.3002344,0.000168104,336.6720581
8/27 10h,0.047282846,3.829540836,23.21782837,54.40037061,990.9399219,0.000168104,355.3938904
8/27 11h,0.07239364,4.275386386,23.78164063,52.48810862,990.5547656,0.000673346,359.1930542
8/27 12h,0.08554231,4.484525248,24.55639038,47.77000881,990.2110156,0.008077826,4.95350647
8/27 13h,0.088630621,4.532938325,24.49205933,49.91506543,989.9434375,0.001178123,12.92402649
8/27 14h,0.069551367,4.235330075,24.76262817,50.40708776,989.9177344,0.000168104,16.65937805
8/27 15h,0.063684064,4.141759019,24.22246704,52.9708197,989.75875,0.000168104,21.31861877
8/27 16h,0.039519749,3.658805625,24.15056763,53.06734074,990.0188281,0.000168104,30.79330444
8/27 17h,0.026859411,3.363780198,19.45375977,75.41650094,989.8763281,0.000168104,45.66642761
8/27 18h,0.087275908,4.485865986,18.98265991,78.86089723,990.3451563,0.000168104,51.66036987
8/27 19h,0.131276159,5.112107389,18.92211304,80.43203869,990.8222656,0.000168104,56.80410004
8/27 20h,0.13440532,5.145472963,18.84362183,81.82092074,990.7303125,0.000168104,59.94841766
8/27 21h,0.143418977,5.237634274,17.89669189,87.35535371,990.5125,0.000168104,55.69936371
8/27 22h,0.103787572,4.723417181,16.13619385,94.33382806,990.6217969,0.000168104,56.20443726
8/27 23h,0.069069935,4.19466959,15.89592896,95.91161925,990.7303125,0.000168104,62.01859283
8/28 0h,0.052202996,3.911528794,15.98864136,95.36845294,990.8396875,0.000168104,62.57981873
8/28 1h,0.075942248,4.299950618,16.0548645,94.66082462,990.4959375,0.000168104,50.84274292
8/28 2h,0.100850937,4.677797794,15.96404419,94.55390045,990.6632813,0.000168104,42.69580078
8/28 3h,0.129794719,5.081598084,15.73983154,93.98306902,990.3791406,0.000168104,34.30285645
8/28 4h,0.205054984,5.882205333,16.00093994,92.18017058,991.0492188,0.000168104,30.80612183
8/28 5h,0.222478299,6.067939478,19.3364502,81.23101651,990.9150781,0.000168104,37.6022644
8/28 6h,0.227166819,6.107129722,19.71486816,79.66399872,990.4039844,0.000168104,40.47261047
8/28 7h,0.188472198,5.734922228,20.20583496,76.97273156,991.1130469,0.000168104,44.20121765
8/28 8h,0.269985003,6.440280235,20.44231567,75.85095971,991.1461719,0.000168104,45.24998474
8/28 9h,0.438080435,7.576324691,23.39852295,62.33883852,990.5953125,0.000168104,46.4717865
8/28 10h,0.401013322,7.36189452,23.5432373,60.67532108,990.6035938,0.000168104,49.88542175
8/28 11h,0.420944095,7.481407915,23.79961548,58.30005213,990.0271094,0.000168104,46.78669739
8/28 12h,0.401430947,7.374418523,24.47976074,55.93164922,989.4671875,0.000168104,45.7490387
8/28 13h,0.373291189,7.210404695,24.47976074,55.48991411,989.2832813,0.000168104,45.76141357
8/28 14h,0.367572732,7.178811374,24.60842285,54.15281979,988.8740625,0.000168104,50.60964966
8/28 15h,0.32728751,6.912950265,23.37392578,62.84410208,988.9742969,0.000168104,50.55825806
8/28 16h,0.252490739,6.32770726,23.22255859,62.60292001,989.2253125,0.000168104,44.19210815
8/28 17h,0.237535511,6.19797063,21.1149231,72.9065543,989.1830469,0.000168104,40.42910767
8/28 18h,0.435380213,7.54747076,21.19155273,72.33707997,988.3646875,0.000168104,42.52815247
8/28 19h,0.351091855,7.058550136,21.19344482,72.89096105,989.0082813,0.000168104,40.88717651
8/28 20h,0.388677969,7.276612757,21.20668945,73.3296942,988.7158594,0.000168104,37.56373596
8/28 21h,0.396261425,7.31762501,20.65422974,77.26416427,988.0888281,0.00589015,41.77412415
8/28 22h,0.352005382,7.056163419,19.70446167,82.84414648,987.7301563,0.160206575,46.12199402
8/28 23h,0.350354067,7.043947108,19.20025024,88.25231269,987.3541406,0.748190563,49.02359009
8/29 0h,0.453481057,7.632473743,18.46898804,94.31759428,986.6360156,1.579513773,48.51974487
8/29 1h,0.553301607,8.161660813,18.47844849,94.54285244,986.2939063,1.404834911,47.13090515
8/29 2h,0.655333729,8.621215243,18.53899536,94.74682771,986.0180469,1.249677036,47.08813477
8/29 3h,0.766512212,9.106088587,18.43776855,95.78489134,985.6585938,1.475177705,49.20684814
8/29 4h,0.788217367,9.194044478,18.48790894,95.65815698,985.116875,1.296796836,48.34895325
8/29 5h,0.782097196,9.174155047,18.54088745,94.23637355,983.9389844,0.78437198,41.22697449
8/29 6h,0.841058535,9.407110058,18.49736938,94.19003694,983.8884375,0.496606342,38.15405273
8/29 7h,0.760806732,9.087142865,18.26751099,95.10045779,983.9232813,0.386212021,34.43470764
8/29 8h,0.813319389,9.293048122,17.97329102,97.97664461,983.4428125,0.266393647,33.7928009
8/29 9h,0.89168181,9.614815605,18.75753174,96.63743096,982.705625,0.175856985,34.52661133
8/29 10h,1.064917963,10.27776451,18.39522705,98.87382182,982.4239844,0.518651213,40.49377441
8/29 11h,0.958480554,9.877191397,18.30251465,98.77936686,981.8102344,0.391596928,43.55641174
8/29 12h,0.744152846,9.033409974,18.74996338,97.01100982,981.536875,0.314354431,39.54216003
8/29 13h,0.723663183,8.945519658,18.63927612,97.03215223,981.1558594,0.411622692,35.83824158
8/29 14h,0.655780067,8.63899631,18.57399902,96.5901355,980.9239063,0.259662047,32.1542511
8/29 15h,0.525513067,8.04677073,18.08776245,96.77864744,980.9073438,0.25848439,27.13150024
8/29 16h,0.405044066,7.366364323,18.25237427,95.98663979,980.8907813,0.344140921,20.52207947
8/29 17h,0.214202742,6.011950967,17.62990723,99.33242528,980.6836719,0.48953807,7.409103394
8/29 18h,0.169898682,5.537850355,17.75383911,98.67287634,981.1310156,0.604476314,350.1095886
8/29 19h,0.241541553,6.22218947,17.80492554,98.06910729,981.669375,0.221966766,333.6109314
8/29 20h,0.269970086,6.439991804,17.69423828,98.22879677,982.0098438,0.119313598,321.1495972
8/29 21h,0.26406803,6.392183457,17.33760986,98.07154168,981.9178906,0.02137199,315.723999
8/29 22h,0.309993142,6.738153872,16.56472168,98.55531815,982.4571094,0.005553477,311.0488892
8/29 23h,0.324501657,6.848324462,16.49001465,98.16565611,982.6725,0.001346227,307.6069946
8/30 0h,0.322467993,6.830759645,16.42757568,97.70682325,983.2357813,0.00319723,300.8685913
8/30 1h,0.335774951,6.931031569,16.51461182,96.64851421,984.1891406,0.00488013,295.8562622
8/30 2h,0.322457965,6.830546911,16.66973267,95.42917901,984.1063281,0.028608367,295.0844421
8/30 3h,0.28269799,6.524536164,16.63094482,94.72139532,984.52875,0.027430244,288.3638306
8/30 4h,0.260758124,6.355687484,16.69716797,94.09711934,985.1251563,0.033488497,278.7510986
8/30 5h,0.321319183,6.827464971,17.92885742,89.71308308,986.1108594,0.082122628,283.711731
8/30 6h,0.316073748,6.787500053,17.81627808,90.74053461,985.5964063,0.098614488,282.9926147
8/30 7h,0.441188263,7.559884082,18.09816895,88.62645853,986.1663281,0.163740478,285.9137573
8/30 8h,0.527347562,8.046083337,18.447229,84.22409524,985.7952344,0.053177588,287.6328735
8/30 9h,0.518332518,8.024189032,20.81786499,71.24399362,985.9435156,0.177876092,287.8377686
8/30 10h,0.56521568,8.236674285,20.89733276,70.79136783,986.1249219,0.097268261,291.0780945
8/30 11h,0.467524893,7.731587881,20.30135498,74.1027876,986.0594531,0.034498051,292.3809509
8/30 12h,0.42198198,7.480790766,21.85088501,65.66053078,986.2242969,0.028439797,289.3859558
8/30 13h,0.331755951,6.939617065,21.61062012,67.25386171,986.2325781,0.024064444,290.2590942
8/30 14h,0.253205854,6.328500975,21.62008057,67.63158,986.2814844,0.004543457,290.3516235
8/30 15h,0.161704751,5.460788094,21.10735474,70.69426004,985.9352344,0.000168104,289.6677246
8/30 16h,0.069804288,4.230799654,21.3618103,69.19596607,986.2897656,0.000168104,289.3057556
8/30 17h,0.010028651,2.953334591,17.02163086,89.53779784,986.0760156,0.000168104,277.5833435
8/30 18h,0.001868086,2.176983986,16.11821899,94.52978719,986.3228906,0.000168104,235.7979126
8/30 19h,0.002735006,2.258634632,15.76064453,94.71789817,986.9333594,0.000168104,200.8133698
8/30 20h,0.020254875,3.212802684,15.62914429,95.28220184,986.5125781,0.000168104,195.3219147
8/30 21h,0.088791072,4.496636808,15.31981812,96.68667179,986.9821875,0.000168104,205.6436615
8/30 22h,0.073501123,4.261786356,14.62075195,97.19725318,986.5457031,0.000168104,210.2809448
8/30 23h,0.097056992,4.619519755,14.63683472,95.92199511,986.5705469,0.000168104,220.8834381
8/31 0h,0.127583087,5.056292677,14.20546875,96.42781494,986.4463281,0.000168104,227.1627808
8/31 1h,0.150070176,5.294304844,14.04558716,95.8574517,986.3560156,0.000168104,228.4824677
8/31 2h,0.149432715,5.289531176,14.38140259,93.81809552,986.2732031,0.000168104,228.369812
8/31 3h,0.134262282,5.124455391,13.56218872,95.50027068,986.1414844,0.000168104,226.328598
8/31 4h,0.106627327,4.760444546,13.7854248,95.19025158,986.3311719,0.000168104,222.9025269
8/31 5h,0.150188171,5.31836578,18.15209351,88.8922065,986.3642969,0.000168104,209.4235229
8/31 6h,0.153816504,5.358113808,18.19750366,88.08036334,986.1083594,0.000168104,204.1620636
